Annual Report Year,Country,CompanyID*,Company Name,Sector,Director Type (ED or SD),DirectorID*,Individual Name,Individual Role,Director Network Size,Time to Retirement,Time in Role,Time on Board,Time in Company,Total Number of Quoted Boards to Date,Total Number of Quoted Current Boards,Avg. Yrs on Other Quoted Boards,Age (Yrs),Number of Qualifications,Gender,Nationality Mix,%Change from Last Period,Total Directors on the Board,Number of SDs on Board,Number of Independent NED on Board,Salary,Bonus,Total Equity Linked Compensation,Total Annual Compensation,Total Wealth,AUDIT COMMITTEE MEMBER   (if yes then put M),REMUNERATION/ COMPENSATION COMMITTEE MEMBER,NOMINATION COMMITTEE MEMBER,AUDIT COMMITTEE SIZE,REMUNERATION/ COMPENSATION COMMITTEE SIZE,NOMINATION COMMITTEE SIZE,NOMINATION COMMITTEE MEMBER_BIN
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083082880,Johann (John) Weindl,Independent Deputy Chairman,101,19.1,5.3,7.6,7.6,2,1,,50,2,M,,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083092880,Marc Brucherseifer,Board Member - SD,23,23.5,1.5,8.1,8.1,1,1,0,46,1,M,,,8,6,1,,0.0,0.0,,,N,N,M,4.0,0.0,6.0,1
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083102880,Nico Forster,Board Member - SD,0,23.8,9.5,10.7,10.7,1,1,0,46,1,M,,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083112880,Doctor Horst L Lennertz,Board Member - SD,217,3.9,3,3,3,4,1,3.7,66,3,M,German,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083142880,Michael Müller-Berg,Board Member - SD,732,24.1,5.3,5.3,5.3,1,1,0,45,2,M,,,8,6,1,,0.0,0.0,,,N,N,M,4.0,0.0,6.0,1
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083012880,Paschalis Choulidis,CEO,14,18.1,4.9,4.9,11.7,1,1,0,46,0,M,,,8,6,1,,0.0,0.0,,,N,N,N,4.0,0.0,6.0,0
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083052880,Vlasios Choulidis,Board Member - Sales/Mktg,31,13.1,4.9,10.7,11.7,1,1,0,51,1,M,German,,8,6,1,,0.0,0.0,,,N,N,N,4.0,0.0,6.0,0
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083072880,Doctor Hartmut Schenk,Chairman,409,20.1,6.3,7.6,7.6,2,1,0,49,3,M,German,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083082880,Johann (John) Weindl,Independent Deputy Chairman,101,18.1,6.3,8.6,8.6,2,1,,51,2,M,,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083092880,Marc Brucherseifer,Board Member - SD,23,22.5,2.5,9.1,9.1,1,1,0,47,1,M,,,8,6,1,,0.0,0.0,,,N,N,M,4.0,0.0,6.0,1
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083102880,Nico Forster,Board Member - SD,0,22.8,10.5,11.7,11.7,1,1,0,47,1,M,,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083112880,Doctor Horst L Lennertz,Board Member - SD,217,2.9,4,4,4,4,1,3.7,67,3,M,German,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
Dec 2009,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083142880,Michael Müller-Berg,Board Member - SD,732,23.1,6.3,6.3,6.3,1,1,0,46,2,M,,,8,6,1,,0.0,0.0,,,N,N,M,4.0,0.0,6.0,1
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083012880,Paschalis Choulidis,CEO,14,17.1,5.9,5.9,12.7,1,1,0,47,0,M,,,8,6,1,,0.0,0.0,,,N,N,N,3.0,0.0,6.0,0
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083052880,Vlasios Choulidis,Board Member - Sales/Mktg,31,12.1,5.9,11.7,12.7,1,1,0,52,1,M,German,,8,6,1,,0.0,0.0,,,N,N,N,3.0,0.0,6.0,0
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083072880,Doctor Hartmut Schenk,Chairman,409,19.1,7.3,8.6,8.6,2,1,0,50,3,M,German,,8,6,1,,0.0,0.0,,,M,N,M,3.0,0.0,6.0,1
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083082880,Johann (John) Weindl,Independent Deputy Chairman,101,17.1,7.3,9.6,9.6,2,1,,52,2,M,,,8,6,1,,0.0,0.0,,,M,N,M,3.0,0.0,6.0,1
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083092880,Marc Brucherseifer,Board Member - SD,23,21.5,3.5,10.1,10.1,1,1,0,48,1,M,,,8,6,1,,0.0,0.0,,,N,N,M,3.0,0.0,6.0,1
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083112880,Doctor Horst L Lennertz,Board Member - SD,217,1.9,5,5,5,4,1,3.7,68,3,M,German,,8,6,1,,0.0,0.0,,,M,N,M,3.0,0.0,6.0,1
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083142880,Michael Müller-Berg,Board Member - SD,732,22.1,7.3,7.3,7.3,1,1,0,47,2,M,,,8,6,1,,0.0,0.0,,,N,N,M,3.0,0.0,6.0,1
Dec 2010,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11660794125,Doctor Bernd H Schmidt,Board Member - SD,166,12.1,2.6,2.6,2.6,2,1,0.2,57,2,M,,,8,6,1,,0.0,0.0,,,N,N,M,3.0,0.0,6.0,1
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083012880,Paschalis Choulidis,CEO,14,16.1,6.9,6.9,13.7,1,1,0,48,0,M,,,7,5,1,,0.0,0.0,,,N,N,N,4.0,0.0,5.0,0
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083052880,Vlasios Choulidis,Board Member - Sales/Mktg,31,11.1,6.9,12.7,13.7,1,1,0,53,1,M,German,,7,5,1,,0.0,0.0,,,N,N,N,4.0,0.0,5.0,0
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083082880,Johann (John) Weindl,Independent Deputy Chairman,101,16.1,8.3,10.6,10.6,2,1,,53,2,M,,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083092880,Marc Brucherseifer,Chairman,23,20.5,2.2,11.1,11.1,1,1,0,49,1,M,,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083112880,Doctor Horst L Lennertz,Board Member - SD,217,0.9,6,6,6,4,1,3.7,69,3,M,German,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083142880,Michael Müller-Berg,Board Member - SD,732,21.1,8.3,8.3,8.3,1,1,0,48,2,M,,,7,5,1,,0.0,0.0,,,N,N,M,4.0,0.0,5.0,1
Dec 2011,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11660794125,Doctor Bernd H Schmidt,Board Member - SD,166,11.1,3.6,3.6,3.6,2,1,0.2,58,2,M,,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083012880,Paschalis Choulidis,CEO,14,15.1,7.9,7.9,14.7,1,1,0,49,0,M,,,7,5,1,,0.0,0.0,,,N,N,N,4.0,0.0,5.0,0
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083052880,Vlasios Choulidis,Board Member - Sales/Mktg,31,10.1,7.9,13.7,14.7,1,1,0,54,1,M,German,,7,5,1,,0.0,0.0,,,N,N,N,4.0,0.0,5.0,0
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083082880,Johann (John) Weindl,Independent Deputy Chairman,101,15.1,9.3,11.6,11.6,2,1,,54,2,M,,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083092880,Marc Brucherseifer,Chairman,23,19.5,3.2,12.1,12.1,1,1,0,50,1,M,,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083112880,Doctor Horst L Lennertz,Board Member - SD,217,-0.1,7,7,7,4,1,3.7,70,3,M,German,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11660794125,Doctor Bernd H Schmidt,Board Member - SD,166,10.1,4.6,4.6,4.6,2,1,0.2,59,2,M,,,7,5,1,,0.0,0.0,,,M,N,M,4.0,0.0,5.0,1
Dec 2012,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,12560645552,Doctor Susanne Rückert,Board Member - SD,757,23.7,0.6,0.6,0.6,1,1,0,46,1,F,,,7,5,1,,0.0,0.0,,,N,N,M,4.0,0.0,5.0,1
Dec 2013,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083012880,Paschalis Choulidis,CEO,14,14.1,8.9,8.9,15.7,1,1,0,50,0,M,,,8,6,2,,0.0,0.0,,,N,N,N,3.0,0.0,6.0,0
Dec 2013,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083052880,Vlasios Choulidis,Board Member - Sales/Mktg,31,9.1,8.9,14.7,15.7,1,1,0,55,1,M,German,,8,6,2,,0.0,0.0,,,N,N,N,3.0,0.0,6.0,0
Dec 2013,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083082880,Johann (John) Weindl,Independent Board Member,101,14.1,0.6,12.6,12.6,2,1,,55,2,M,,,8,6,2,,0.0,0.0,,,M,N,M,3.0,0.0,6.0,1
Dec 2013,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083092880,Marc Brucherseifer,Chairman,23,18.5,4.2,13.1,13.1,1,1,0,51,1,M,,,8,6,2,,0.0,0.0,,,N,N,M,3.0,0.0,6.0,1
